DGS DGES QGS QGES PGS PGES forb_norm accuracy spec_norm time isomorphic 
327 5818 261 4013 261 3400 12433.999999999998 0.0038314176245210726 6028.512544302927 0.6890413761138916 False
327 5818 261 4044 261 3431 12390.0 0.007662835249042145 5970.612396671862 0.6798157691955566 False
327 5818 261 3928 261 3429 12146.0 0.0038314176245210726 4128.369174969171 0.7082996368408203 False
327 5818 261 3989 261 3438 12410.0 0.022988505747126436 4965.445143620648 0.6691210269927979 False
327 5818 261 3877 261 3405 12112.0 0.01532567049808429 3617.040690007298 0.6669914722442627 False
327 5818 261 3997 261 3439 12324.0 0.0038314176245210726 5123.27388163888 0.6628618240356445 False
327 5818 261 4022 261 3425 12210.0 0.01532567049808429 5776.02813352868 0.6660127639770508 False
327 5818 261 3927 261 3358 12058.000000000002 0.01532567049808429 5259.685879487981 0.7088124752044678 False
327 5818 261 3882 261 3413 12202.0 0.007662835249042145 3769.225449772226 0.7057428359985352 False
327 5818 261 4052 261 3474 12336.0 0.034482758620689655 5370.9110865585135 0.6896235942840576 False
327 5818 261 3912 261 3406 11920.000000000002 0.011494252873563218 4175.215085839471 0.7085247039794922 False
327 5818 261 3971 261 3434 12266.0 0.02681992337164751 4644.130860838475 0.685624361038208 False
327 5818 261 3976 261 3413 12269.999999999998 0.01532567049808429 5064.777769759968 0.7079792022705078 False
327 5818 261 3950 261 3417 12342.0 0.007662835249042145 4707.271551936673 0.6908273696899414 False
327 5818 261 3844 261 3388 12123.999999999998 0.007662835249042145 3443.981220876348 0.7088496685028076 False
327 5818 261 3992 261 3458 12292.000000000002 0.019157088122605363 4647.445982111488 0.6942586898803711 False
327 5818 261 3878 261 3442 12260.0 0.0038314176245210726 3302.5998503464793 0.7150437831878662 False
327 5818 261 4037 261 3404 12378.0 0.01532567049808429 6441.148951478324 0.7219035625457764 False
327 5818 261 3982 261 3421 12598.0 0.007662835249042145 5205.071928647844 0.7124757766723633 False
327 5818 261 3992 261 3472 12167.999999999998 0.011494252873563218 4559.248347621127 0.6921846866607666 False
327 5818 261 3950 261 3404 12376.0 0.01532567049808429 4869.193691950541 0.6689701080322266 False
327 5818 261 3997 261 3433 12351.999999999998 0.011494252873563218 5228.584304819503 0.6913895606994629 False
327 5818 261 4072 261 3477 12274.0 0.019157088122605363 5665.718996479666 0.6577208042144775 False
327 5818 261 3930 261 3448 11976.0 0.019157088122605363 3867.073282208302 0.7203109264373779 False
327 5818 261 3981 261 3419 12360.0 0.0038314176245210726 5296.863516768179 0.6623363494873047 False
327 5818 261 3882 261 3409 12338.0 0.022988505747126436 3702.573592332738 0.6946415901184082 False
327 5818 261 3938 261 3393 12317.999999999998 0.019157088122605363 4979.744424626782 0.717170238494873 False
327 5818 261 4043 261 3441 12236.0 0.019157088122605363 6057.288862694267 0.6916787624359131 False
327 5818 261 4113 261 3464 12294.000000000002 0.007662835249042145 6820.958572130781 0.6866593360900879 False
327 5818 261 4051 261 3436 12502.0 0.0038314176245210726 6069.711737716855 0.8881494998931885 False
327 5818 261 3942 261 3399 12650.000000000002 0.0 4933.794322939728 0.6766116619110107 False
327 5818 261 3986 261 3470 12500.0 0.0 4394.203024463303 0.6560525894165039 False
327 5818 261 3913 261 3419 12411.999999999998 0.01532567049808429 4081.1792084688745 0.6934478282928467 False
327 5818 261 4031 261 3468 12426.000000000002 0.011494252873563218 5053.526489544286 0.7055919170379639 False
327 5818 261 3853 261 3400 12086.0 0.011494252873563218 3479.3019609818143 0.7697889804840088 False
327 5818 261 3953 261 3402 12129.999999999998 0.01532567049808429 4874.713907946641 0.7446224689483643 False
327 5818 261 4008 261 3458 12432.0 0.011494252873563218 4902.366484396626 0.7421214580535889 False
327 5818 261 3959 261 3451 12560.0 0.007662835249042145 4377.70479733929 0.7647912502288818 False
327 5818 261 3819 261 3416 11922.0 0.019157088122605363 2827.0241476307287 0.7689511775970459 False
327 5818 261 3976 261 3484 12160.0 0.022988505747126436 4067.3997453624866 0.7565460205078125 False
327 5818 261 3907 261 3468 12074.000000000002 0.007662835249042145 3305.943549798681 0.7512509822845459 False
327 5818 261 3980 261 3437 12266.0 0.007662835249042145 4752.534667652331 0.759960412979126 False
327 5818 261 3925 261 3387 12399.999999999998 0.0 4738.817394526353 0.7663295269012451 False
327 5818 261 3996 261 3428 12399.999999999998 0.011494252873563218 5186.2899463116755 0.750530481338501 False
327 5818 261 4042 261 3475 12618.000000000002 0.0038314176245210726 5297.8763804055225 0.7556297779083252 False
327 5818 261 4040 261 3429 12326.0 0.011494252873563218 5925.447613399044 0.7426533699035645 False
327 5818 261 3864 261 3401 12178.000000000002 0.007662835249042145 3661.12880542698 0.7384607791900635 False
327 5818 261 3894 261 3391 12078.0 0.019157088122605363 4124.558566381943 0.7688076496124268 False
327 5818 261 4057 261 3395 12464.000000000002 0.011494252873563218 6948.607810490316 0.7425391674041748 False
327 5818 261 3985 261 3366 12230.0 0.0038314176245210726 6206.404306856355 0.7495439052581787 False
