forb_norm accuracy spec_norm time
134.0 0.0 139.2126761444917 9.989331007003784
188.0 0.014084507042253521 76.17470303811122 10.926413774490356
122.00000000000001 0.0 42.893370511152774 10.97244381904602
178.0 0.0 8.76083651788614 9.838171005249023
138.0 0.0 9.034907494666315 9.520857810974121
164.0 0.0 12.730509705241136 10.574735879898071
184.0 0.0 6.466384001968609 10.291994571685791
120.0 0.0 9.673373739778196 10.070594072341919
174.0 0.0 13.735475684488385 9.9295072555542
150.0 0.0 16.474790266209936 10.339178323745728
