G1,G2,K,Algo,FROB,FROB1,FROB2,FROB3,FROB4,FROB5,HR,HR1,HR2,HR3,HR4,HR5,TIME,CRP,CRP1,CRP2,CRP3,CRP4,CRP5,trial,local_g1,local_g2,local_g1_1,local_g2_1,local_g1_2,local_g2_2,local_g1_3,local_g2_3,local_g1_4,local_g2_4,local_g1_5,local_g2_5,initialization
village,celegans,223,Alpine,6.164414002968976,0,0,0,0,0,371,0,0,0,0,0,25.9467351436615,214,0,0,0,0,0,0,214,214,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,223,Alpine++,5.656854249492381,0,0,0,0,0,371,0,0,0,0,0,110.54680371284485,215,0,0,0,0,0,0,215,215,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,223,Martian,5.291502622129181,0,0,0,0,0,371,0,0,0,0,0,114.99673104286194,217,0,0,0,0,0,0,217,217,0,0,0,0,0,0,0,0,0,0,uniform
village,celegans,223,ssSGM,11.489125293076057,0,0,0,0,0,0,0,0,0,0,0,2.100912570953369,0,0,0,0,0,0,0,68,97,0,0,0,0,0,0,0,0,0,0,uniform
malaria,celegans,184,Alpine,14.247806848775006,0,0,0,0,0,306,0,0,0,0,0,27.992050409317017,161,0,0,0,0,0,0,161,161,0,0,0,0,0,0,0,0,0,0,uniform
malaria,celegans,184,Alpine++,11.135528725660043,0,0,0,0,0,306,0,0,0,0,0,108.31525897979736,169,0,0,0,0,0,0,169,169,0,0,0,0,0,0,0,0,0,0,uniform
malaria,celegans,184,Martian,9.1104335791443,0,0,0,0,0,306,0,0,0,0,0,108.70659637451172,176,0,0,0,0,0,0,176,176,0,0,0,0,0,0,0,0,0,0,uniform
malaria,celegans,184,ssSGM,25.25866188063018,0,0,0,0,0,0,0,0,0,0,0,1.64967942237854,0,0,0,0,0,0,0,53,89,0,0,0,0,0,0,0,0,0,0,uniform
jazz,celegans,118,Alpine,19.026297590440446,0,0,0,0,0,195,0,0,0,0,0,24.80892062187195,85,0,0,0,0,0,0,87,88,0,0,0,0,0,0,0,0,0,0,uniform
jazz,celegans,118,Alpine++,18.439088914585774,0,0,0,0,0,195,0,0,0,0,0,99.478271484375,88,0,0,0,0,0,0,90,91,0,0,0,0,0,0,0,0,0,0,uniform
jazz,celegans,118,Martian,13.490737563232042,0,0,0,0,0,191,0,0,0,0,0,99.53247451782227,105,0,0,0,0,0,0,107,107,0,0,0,0,0,0,0,0,0,0,uniform
jazz,celegans,118,ssSGM,20.615528128088304,0,0,0,0,0,0,0,0,0,0,0,0.7817425727844238,0,0,0,0,0,0,0,21,52,0,0,0,0,0,0,0,0,0,0,uniform
football,celegans,69,Alpine,9.486832980505138,0,0,0,0,0,114,0,0,0,0,0,15.56580662727356,59,0,0,0,0,0,0,59,59,0,0,0,0,0,0,0,0,0,0,uniform
