forb_norm accuracy spec_norm time
3653.9999999999995 0.017699115044247787 6375.539459019031 25.846282482147217
3600.0 0.008849557522123894 7714.5836640344205 25.369110107421875
3681.9999999999995 0.02064896755162242 7261.557175648294 25.36801052093506
3804.0 0.02654867256637168 8012.771487436782 25.09369206428528
3710.0000000000005 0.02654867256637168 7701.254931507512 24.828258275985718
3718.0 0.02359882005899705 6927.0480254667245 19.97005558013916
3658.0000000000005 0.011799410029498525 9881.566077578475 24.67709517478943
3540.0 0.02064896755162242 5570.636329603944 19.633599281311035
3675.9999999999995 0.029498525073746312 7880.983812622149 22.026949167251587
3594.0 0.02359882005899705 8344.908212091155 23.218767404556274
