forb_norm accuracy spec_norm time
2412.0 0.08 8490.908791558462 6.837304353713989
2502.0000000000005 0.13 6643.320962137324 6.482913494110107
2116.0 0.1 7918.5627310676555 6.847229957580566
2092.0 0.125 5940.255685265824 6.666823387145996
2342.0 0.115 3613.1032881165274 6.7701685428619385
2510.0000000000005 0.075 6270.133470697834 6.624921083450317
2354.0 0.135 3507.532785420388 6.457897424697876
1946.0 0.125 5744.07646803361 6.855006694793701
2466.0 0.13 7191.225408834634 6.648049831390381
2658.0000000000005 0.08 9675.600108284443 6.752591609954834
