forb_norm accuracy spec_norm time
1402.0 0.06153846153846154 2400.7601419576695 7.482971429824829
1338.0000000000002 0.0 1625.315976702776 7.78822922706604
1219.9999999999998 0.0 3161.7451571830147 7.9601569175720215
1314.0 0.0 2309.7074477421766 7.441838502883911
1282.0000000000002 0.0 660.7334392950214 7.299188613891602
1364.0 0.03076923076923077 249.81920799873325 7.082766532897949
1163.9999999999998 0.0 1026.3874266160492 6.318328142166138
1298.0 0.03076923076923077 461.2153529198255 6.441028833389282
1177.9999999999998 0.0 308.56981722944175 6.469177007675171
1274.0000000000002 0.015384615384615385 720.9032245909051 7.487747669219971
