forb_norm accuracy spec_norm time
702.0 0.24 3133.192913003052 5.580660820007324
776.0 0.29 5677.951088695867 5.698790550231934
1200.0000000000002 0.03 10153.621651702224 5.669710874557495
1345.9999999999998 0.07 9873.16491310111 5.304111957550049
1140.0000000000002 0.11 6892.939388718568 5.6266467571258545
938.0000000000001 0.0 2108.6252252805357 5.138233661651611
988.0000000000001 0.05 4768.708716001823 5.381331205368042
998.0 0.03 8718.783938463204 5.850350856781006
960.0000000000001 0.02 5191.891465047044 5.8063836097717285
1001.9999999999999 0.01 1914.1223331092544 5.5724616050720215
