forb_norm accuracy spec_norm time
2393.9999999999995 0.5119521912350598 1242.5446539488485 17.32212734222412
1364.0 0.6892430278884463 565.7768737556689 22.137137413024902
1594.0000000000002 0.7091633466135459 554.2038828062342 21.92599630355835
936.0000000000001 0.6752988047808764 248.7802437089368 19.696289777755737
1484.0000000000002 0.7091633466135459 431.39762509840506 21.227308988571167
854.0 0.6912350597609562 469.80307665747387 22.932926654815674
2386.0 0.5119521912350598 1266.015790969838 20.62365436553955
1134.0 0.6912350597609562 394.50472349055576 18.858577251434326
1236.0000000000002 0.6792828685258964 456.7094817259393 21.83101463317871
1204.0 0.703187250996016 394.16332615943924 22.384808778762817
